AREA,ReturnPeriod,AGG_RES_GU,AGG_RES_BLDG_GU,AGG_RES_CONT_GU,AGG_COM_GU,AGG_Com_Bldg_GU,AGG_Com_Cont_GU,AGG_IND_GU,AGG_Ind_Bldg_GU,AGG_Ind_Cont_GU,AGG_COMTOTAL_GU,AGG_AGR_GU,AGG_AUTO_GU,AGG_TOTAL_GU,AGG_RES_GR,AGG_RES_BLDG_GR,AGG_RES_CONT_GR,AGG_COM_GR,AGG_IND_GR,AGG_COMTOTAL_GR,AGG_AGR_GR,AGG_AUTO_GR,AGG_TOTAL_GR,AGG_RES_INS,AGG_RES_BLDG_INS,AGG_RES_CONT_INS,AGG_COM_INS,AGG_IND_INS,AGG_COMTOTAL_INS,AGG_AGR_INS,AGG_AUTO_INS,AGG_TOTAL_INS
CZE_12,10000,30707822.68,21687370.13,9020452.544,108106449.3,61814974.38,38861428.39,3264462.087,1230115.842,1438151.331,111370911.4,0,143202.8403,141643615,30622276.6,21645475.68,8976800.913,101461618.3,3101472.33,104563090.7,0,104419.486,134724380.1,22110308.56,14640515.66,7469792.897,72140784.57,2021459.329,74162243.9,0,73093.64007,95975261.36
CZE_13,0,314680.919,216764.2076,97916.71145,727018.7307,392757.1076,271430.9559,70324.60643,24701.33282,28254.96871,797343.3371,0,14620.8776,1126645.134,309636.1802,215055.3265,94580.85377,641398.7438,57959.89299,699358.6368,0,9208.72086,1018203.538,109410.8207,70887.87427,38522.94647,246752.1689,21295.04917,268047.218,0,3657.117573,381115.1563
CZE_13,2,284980.4479,195399.0362,89164.02317,683947.7877,365696.6895,256072.9537,67830.07227,23244.57132,26633.45908,752170.8858,0,13275.04889,1051161.455,280743.3032,193754.7603,86264.64459,601730.7931,53330.90681,656905.6204,0,7843.211573,947175.8226,0,0,0,0,0,0,0,0,0
CZE_13,5,570904.6442,393515.827,177427.4254,1306450.552,714906.4852,491007.3774,124067.0047,44935.93241,51060.72343,1430495.67,0,26586.84954,2033804.448,561084.8643,390510.8778,172094.6014,1161095.781,103752.8943,1264787.555,0,16756.60037,1843705.043,251516.0408,162557.7732,88742.73454,569130.5071,48812.10288,618286.0256,0,8374.510415,878330.4228
CZE_13,10,817818.4846,562914.9128,254171.4478,1889818.465,1021121.799,707227.8032,182039.3443,64193.36299,73311.93182,2072699.597,0,37959.20713,2927598.812,806191.835,558417.1654,245802.4484,1671628.158,151572.0698,1820464.133,0,24584.10665,2650220.005,398634.2641,259315.2734,140154.6932,895602.8169,76891.60068,972292.5033,0,13378.03898,1384909.072
CZE_13,20,1040963.211,715950.3083,323866.1578,2412878.15,1304795.394,903185.0203,231224.9729,81845.2179,93585.71974,2642494.095,0,48377.05393,3733245.093,1023000.919,710458.606,313550.5408,2140639.163,191394.1709,2326796.91,0,30628.9754,3380377.243,573827.2723,371546.7982,202137.25,1295589.226,111424.4482,1407417.919,0,19154.26654,1998947.542
CZE_13,40,1236972.523,848948.9217,382482.6126,2864599.158,1548712.949,1064546.189,276073.715,97185.94917,111004.0075,3141377.668,0,57283.05731,4432347.28,1215112.532,842307.5314,371363.0303,2527024.687,231376.7105,2751081.264,0,37771.75674,4006028.603,722696.6527,466514.5172,254679.0685,1650499.806,141432.2487,1794292.825,0,24130.74023,2537929.707
CZE_13,50,1295422.011,894446.5539,401858.0411,2992587.072,1626281.971,1115884.972,287894.8037,101768.7883,117207.2519,3277849.901,0,60140.28667,4624912.655,1274967.913,887504.95,389381.5498,2651769.601,240419.6123,2886858.622,0,39380.68776,4193071.122,774197.4674,499835.8192,272498.2854,1757135.667,152163.2989,1910988.682,0,25853.23199,2712485.176
CZE_13,100,1492111.827,1034754.196,462051.0876,3473714.748,1883330.497,1285456.458,332311.9609,117875.1032,135010.1546,3794971.126,0,69818.1191,5373580.901,1470057.925,1026706.699,448109.2766,3061740.987,285182.0957,3331257.303,0,45172.00421,4853320.374,892994.391,581897.9128,314827.1469,2012242.411,174076.5277,2184723.632,0,30074.83826,3110126.336
CZE_13,250,1760037.248,1208912.006,548632.9151,4102438.776,2217293.196,1536715.06,391738.2698,138691.0625,160569.0732,4490716.815,0,81573.68735,6345682.207,1739286.546,1199030.595,527745.8419,3613283.342,332734.7076,3953829.868,0,51832.4794,5743399.401,1039844.093,675103.3795,363867.8029,2347420.845,203402.48,2550936.693,0,34919.12114,3621246.232
